,Unnamed: 0,Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
0,0,2014,1,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),"589,55"
1,1,2014,1,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),"712,79"
2,2,2014,1,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),"540,71"
3,3,2014,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),"673,44"
4,4,2014,1,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),"736,09"
5,5,2014,1,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),"673,37"
6,6,2014,1,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),"921,4"
7,7,2014,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"827,87"
8,8,2014,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"716,13"
9,9,2014,1,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),"693,43"
10,10,2014,1,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),"568,0"
11,11,2014,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),Unknown
12,12,2014,1,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),"553,55"
13,13,2014,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),"631,5"
14,14,2014,1,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),"580,71"
15,15,2014,1,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),"604,74"
16,16,2014,1,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),"584,27"
17,17,2014,1,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),"605,28"
18,18,2014,1,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),"777,23"
19,19,2014,1,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),"700,16"
20,20,2014,1,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),"1230,0"
21,21,2014,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),"837,33"
22,22,2014,1,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),"1042,16"
23,23,2014,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),"1215,85"
24,24,2014,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),"927,63"
25,25,2014,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),"1053,7"
26,26,2014,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),"750,84"
27,27,2014,1,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),"679,66"
28,28,2014,1,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),"583,93"
29,29,2014,1,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),"634,48"
30,30,2014,1,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),"679,8"
31,31,2014,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),"671,0"
32,32,2014,1,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),"622,63"
33,33,2014,1,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),"568,94"
34,34,2014,1,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),"586,5"
35,35,2014,1,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),"585,45"
36,36,2014,1,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),"478,7"
37,37,2014,1,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),"492,79"
38,38,2014,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),"557,0"
39,39,2014,1,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),"537,94"
40,40,2014,1,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),"737,73"
41,41,2014,1,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),Unknown
42,42,2014,1,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),"556,3"
43,43,2014,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),"555,89"
44,44,2014,1,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),"523,29"
45,45,2014,1,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),"475,06"
46,46,2014,1,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),"241,99"
47,47,2014,1,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),"613,58"
48,48,2014,1,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),"563,33"
49,49,2014,1,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),"461,28"
50,50,2014,1,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),"503,47"
51,51,2014,1,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),"521,81"
52,52,2014,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),"442,94"
53,53,2014,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),Unknown
54,54,2014,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),"359,27"
55,55,2014,1,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),Unknown
56,56,2014,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),"461,1"
57,57,2014,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),Unknown
58,58,2014,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),"488,14"
59,59,2014,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),"581,16"
60,60,2014,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),"626,26"
61,61,2014,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),"563,42"
62,62,2014,1,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),"613,47"
63,63,2014,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),"580,09"
64,64,2014,1,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),"604,85"
65,65,2014,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),"704,67"
66,66,2014,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),"926,43"
67,67,2014,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),"663,93"
68,68,2014,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),"866,7"
69,69,2014,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),"516,9"
70,70,2014,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),"635,7"
71,71,2014,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),"643,66"
72,72,2014,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),"568,68"
73,73,2014,2,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),"550,63"
74,74,2014,2,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),"728,79"
75,75,2014,2,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),"541,93"
76,76,2014,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),"676,98"
77,77,2014,2,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),"706,16"
78,78,2014,2,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),"663,23"
79,79,2014,2,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),"948,96"
80,80,2014,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"821,81"
81,81,2014,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),"708,0"
82,82,2014,2,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),"718,01"
83,83,2014,2,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),"578,65"
84,84,2014,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),Unknown
85,85,2014,2,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),"454,44"
86,86,2014,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),"624,88"
87,87,2014,2,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),"584,91"
88,88,2014,2,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),"616,4"
89,89,2014,2,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),"569,68"
90,90,2014,2,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),"618,8"
91,91,2014,2,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),"765,29"
92,92,2014,2,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),"748,64"
93,93,2014,2,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),"1459,12"
94,94,2014,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),"1051,22"
95,95,2014,2,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),"1030,35"
96,96,2014,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),"1327,22"
97,97,2014,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),"920,62"
98,98,2014,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),"1006,56"
99,99,2014,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),"761,35"
